date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2015-12-31,1474,622.0000000000001,-542,-715,-1791.000064,-413,-413,-1.4583330154418945,441,20400.999872,623,-909,-11,HES
2016-03-31,973,348,-769,-834,-488,-509,-515,-1.7200000286102295,99,21634.000064,-60,-613,1514,HES
2016-06-30,1224,947,-546,-586,-373,-335,-347,-1.1080080270767212,251,21174.000512,197,-527,-132,HES
2016-09-30,1176.999936,506.999936,-479,-544,-317,-334.150016,-346.150016,-1.1052039861679077,332,20914.999488,332,-526,628,HES
2016-12-31,1388,444.99999999999994,-455,-537,-4897.999872,-300.6,-311.6,-0.9950370192527771,313,15591.000064,326,-424,-699,HES
2017-03-31,1258,700,-214,-303.538464,-296,-320.449984,-332.449984,-1.059095025062561,523,15233.000128,349,-290,-105,HES
2017-06-30,1196.999936,569.999936,-340,-395.923072,-417,-430.1,-441.1,-1.4029899835586548,401,15077.99968,165,-401,42,HES
2017-09-30,1348,657,-274,-349.461536,-593,817.4,806.4,2.563148021697998,485,14428.000192,88,90,-144,HES
2017-12-31,1663.000064,828.000064,-299,-347.076928,-2635.000064,-567.699968,-579.699968,-1.848533034324646,347,12354.00032,343,1959.000064,19,HES
2018-03-31,1346,700,104,48.126584,-65,-74.3,-85.3,-0.2775770127773285,521,11936.999616,210,-422,-909,HES
2018-06-30,1534,796,129,52,-87,-110.25,-122.25,-0.4136129915714264,573,11335.99968,425,-484,-759,HES
2018-09-30,1792.999936,1035.999936,196,118,3,-46.74,-57.74,-0.19619399309158325,685,11046.000064,423,5,-332,HES
2018-12-31,1650,886,145,78,34,9.43,-2.57,-0.008816000074148178,678,10888.000256,881,-665,-526,HES
2019-03-31,1572,898,247,176,75,37.53,33.53,0.10845199972391129,845,10552.999936,238,-680,48,HES
2019-06-30,1660,898,230,148,34,-20.22,-20.22,-0.06705500185489655,828,10530.999808,675,-617,-150,HES
2019-09-30,1580,836,108,-47,-166,-209.63,-209.63,-0.6929919719696045,751,10176.999936,461,-721,-67,HES
2019-12-31,1683.000064,890.000064,18,-61,-183,-219.63,-219.63,-0.7253299951553345,703,9706,268,-825,221,HES
2020-03-31,1354,673,-189,-287,-2366.000128,-4658.719744,-4658.719744,-15.324736595153809,372,8177.999744,445,-818,908,HES
2020-06-30,833,483,-156,-274,-263,-321.58,-321.58,-1.0551799535751343,353,7366.000192,266,-570,-130,HES
2011-03-31,15.548328,5.493248000000001,2.874657,2.839291,-27.595664,-3.3238765,-3.3238765,-0.08097799867391586,9.985868,254.808934,12.732005,-35.02406,15.693402,MTDR
2011-06-30,21.816022,9.957165999999997,6.863713,6.774857,7.152223,6.9365985,6.9365985,0.16245700418949127,15.042679,262.442635,6.799079,-56.064996,44.728128,MTDR
2011-09-30,18.882,7.62,3.413,3.324,6.194,4.3285,4.3285,0.09542199969291687,10.700823,268.538348,14.911916,-16.682946,-0.383532,MTDR
2011-12-31,17.859758,5.55126,1.398301,1.242836,3.416228,1.073744375,1.073744375,0.02501400001347065,10.573673,271.51519,27.425072,-52.315596,27.406728,MTDR
2012-03-31,32.226368,14.158482,10.369057,10.13406,3.800576,5.92585,5.92585,0.11847899854183197,21.574508,414.096107,5.109846,-52.764016,39.743844,MTDR
2012-06-30,40.791,11.826000000000002,7.673,7.702,-6.676,5.08315,5.08315,0.09196799993515015,27.58655,407.777,46.416152,-84.112984,44.755156,MTDR
2012-09-30,41.379,10.327000000000002,6.888,6.799,-9.197,1.58585,1.58585,0.025090999901294708,28.568,399.228008,28.799,-80.053,46,MTDR
2012-12-31,55.561,13.079999999999995,9.433,8.951,-21.188,-1.47545,-1.47545,-0.026693999767303467,37.088,379.104008,43.903,-89.986,44,MTDR
2013-03-31,59.711,16.402,11.8,10.596,-15.505,1.43075,1.43075,0.02588599920272827,40.032,364.104992,32.229,-84.672,55,MTDR
2013-06-30,58.433,23.528,19.187,17.625,25.119,20.2271,20.2271,0.3622399866580963,39.421,390.024992,52.309,-91.229,39.999,MTDR
2013-09-30,80.703,39.36200000000001,33.967,31.995,20.105,26.16755,26.16755,0.45103999972343445,60.094,552.666024,42.654,-84.183,42.128,MTDR
2013-12-31,69.274,30.393,23.76,23.036,15.375,15.76825,15.76825,0.24278199672698975,47.562,568.923992,52.278,-106.855,54.534,MTDR
2014-03-31,77.088,37.584,30.365,27.164,16.363,17.18525,17.18525,0.2616350054740906,54.395,586.400976,31.945,-93.898,70.006,MTDR
2014-06-30,96.141,43.401,35.301,37.007,18.226,23.52155,23.52155,0.3365029990673065,67.098,787.242016,81.53,-142.320992,61.086,MTDR
2014-09-30,95.916,38.335,30.236,29.83,29.619,19.02855,19.02855,0.25694000720977783,65.379,818.339032,66.884,-173.71,99.914,MTDR
2014-12-31,103.589,33.64800000000001,24.914,23.896,46.546,13.83485,13.83485,0.17958000302314758,68.681,866.541032,71.122,-160.602,90.164,MTDR
2015-03-31,80.969,14.291999999999998,3.114,1.428,-50.198,0.4764,0.4764,0.006453999783843756,49.584,922.834024,93.346,-166.092,70.4,MTDR
2015-06-30,101.628,24.520000000000003,11.834,6.467,-157.016,7.32545,7.25045,0.08742000162601471,63.603,956.346968,20.044,-127.904,155.422,MTDR
2015-09-30,92.246,22.485000000000003,10.334,3.173,-242.014,2.557,2.557,0.028540000319480896,55.572,716.603992,72.534,-111.563,-0.707,MTDR
2015-12-31,83.024,23.012,11.432,3.577,-230.296,-0.59785,-0.52285,-0.006173000205308199,46.802,488.959008,22.611,-19.595,-0.171,MTDR
2016-03-31,51.462,-1.1649999999999987,-14.328,-21.431,-107.667,-13.922,-13.922,-0.16320300102233887,14.595,525.15196,18.358,-57.932,141.171008,MTDR
2016-06-30,71.801,16.534,3.337,-1.953,-105.747,-1.338,-1.338,-0.018224000930786133,34.584,422.529064,31.242,-108.1,-0.598,MTDR
2016-09-30,85.53,26.797,13.651,6.63,12.047,6.516,6.516,0.06977599859237671,43.666,437.793928,46.862,-131.564,64.395,MTDR
2016-12-31,97.34,36.051,20.468,11.255,104.31,5.969,5.969,0.06346199661493301,52.331,691.445056,37.624,-108.044,262.738,MTDR
2017-03-31,114.183,49.985,37.105,28.727,45.9,36.189552,36.189552,0.3622870147228241,71.097,915.496024,61.309,-238.32,173.832,MTDR
2017-06-30,116.421,42.976,25.799,18.497,31.687,21.74125,21.74125,0.2124760001897812,67.073,962.370952,59.933,-131.375,6.986,MTDR
2017-09-30,138.651008,55.077008,38.921,30.335,17.979,31.7196,31.7196,0.3159700036048889,86.721,992.796944,101.274,-227.158,10.299,MTDR
